,Date,State,Population,Household Income,Per Capita Income,WhitePerc,BlackPerc,NativePerc,AsianPerc,IslanderPerc,OtherRacePerc,TwoOrMoreRacesPerc,Cases_Total,Cases_White,Cases_Black,Cases_LatinX,Cases_Asian,Cases_AIAN,Cases_NHPI,Cases_Multiracial,Cases_Other,Cases_Unknown,Deaths_Total,Deaths_White,Deaths_Black,Deaths_LatinX,Deaths_Asian,Deaths_AIAN,Deaths_NHPI,Deaths_Multiracial,Deaths_Other,Deaths_Unknown
33,20200715,Ohio,11641879.0,54533.0,30304.0,0.8151,0.1235,0.002,0.0215,0.0003,0.0094,0.0281,69311,32910.0,18416.0,,1986.0,83.0,133.0,2210.0,4920.0,8653.0,3075.0,2349.0,592.0,,33.0,1.0,1.0,37.0,20.0,42.0
34,20200715,Oklahoma,3918137.0,51424.0,27432.0,0.7243,0.0735,0.0752,0.0213,0.0011,0.0272,0.0774,22813,12722.0,1700.0,,1473.0,1595.0,,,905.0,4418.0,432.0,325.0,30.0,,8.0,35.0,,,11.0,23.0
35,20200715,Oregon,4081943.0,59393.0,32045.0,0.8442,0.0191,0.0115,0.0428,0.0039,0.0311,0.0474,13081,5447.0,543.0,,438.0,283.0,350.0,321.0,4209.0,1490.0,247.0,184.0,6.0,,9.0,3.0,6.0,2.0,19.0,18.0
36,20200715,Pennsylvania,12791181.0,59445.0,32889.0,0.8085,0.1113,0.0019,0.0335,0.0003,0.0202,0.0243,97665,30800.0,13200.0,,1400.0,,,,879.0,51386.0,6957.0,4693.0,1426.0,,150.0,,,,310.0,378.0
37,20200715,Rhode Island,1056611.0,63296.0,34619.0,0.8087,0.0655,0.0052,0.0338,0.0008,0.055,0.031,17640,4878.0,1629.0,6072.0,,,,,487.0,4574.0,987.0,656.0,51.0,85.0,,,,,13.0,182.0
38,20200715,South Carolina,4955925.0,51015.0,27986.0,0.6725,0.2703,0.0034,0.0152,0.0006,0.0159,0.0222,62245,20446.0,14994.0,,454.0,,,,4089.0,22260.0,998.0,457.0,410.0,,9.0,,,,28.0,101.0
39,20200715,South Dakota,864289.0,56499.0,29801.0,0.8447,0.0188,0.0872,0.0146,0.0003,0.0077,0.0267,7652,2815.0,987.0,1130.0,716.0,1236.0,,,768.0,0.0,111.0,,,,,,,,,111.0
40,20200715,Tennessee,6651089.0,50972.0,28511.0,0.7767,0.168,0.0027,0.017,0.0006,0.0136,0.0214,69061,29104.0,14151.0,,741.0,91.0,57.0,,10575.0,14342.0,783.0,434.0,280.0,,13.0,0.0,1.0,,50.0,5.0
41,20200715,Texas,27885195.0,59570.0,30143.0,0.7431,0.1207,0.0049,0.0469,0.0008,0.0574,0.0262,282365,6522.0,2989.0,10534.0,651.0,,,,135.0,261534.0,3432.0,315.0,94.0,211.0,14.0,,,,1.0,2797.0
42,20200715,Utah,3045350.0,68374.0,28239.0,0.8643,0.0118,0.0107,0.0229,0.0089,0.0519,0.0295,30891,11652.0,775.0,12519.0,684.0,701.0,1206.0,,3860.0,3377.0,233.0,118.0,5.0,54.0,11.0,21.0,13.0,,19.0,11.0
43,20200715,Vermont,624977.0,60076.0,33238.0,0.9433,0.0129,0.0034,0.0169,0.0003,0.0039,0.0193,1318,1086.0,146.0,,53.0,2.0,,0.0,25.0,6.0,56.0,53.0,,,2.0,,,,1.0,0.0
44,20200715,Virginia,8413774.0,71564.0,37763.0,0.6802,0.1917,0.0027,0.0632,0.0007,0.0248,0.0368,73527,16073.0,11411.0,23832.0,2311.0,87.0,,256.0,1731.0,17826.0,1992.0,1071.0,465.0,220.0,115.0,2.0,,0.0,24.0,95.0
45,20200715,Washington,7294336.0,70116.0,36888.0,0.7603,0.037000000000000005,0.013000000000000001,0.0833,0.0066,0.0427,0.0571,43046,10956.0,1649.0,13279.0,1640.0,483.0,886.0,660.0,725.0,12768.0,1421.0,921.0,48.0,184.0,115.0,30.0,14.0,16.0,31.0,62.0
46,20200715,West Virginia,1829054.0,44921.0,25479.0,0.9318,0.0365,0.002,0.0079,0.0002,0.004,0.0176,4557,3606.0,324.0,,,,,,627.0,0.0,98.0,58.0,3.0,,,,,,,37.0
47,20200715,Wisconsin,5778394.0,59209.0,32018.0,0.8559,0.0638,0.0087,0.0276,0.0003,0.0201,0.0235,42197,24961.0,6752.0,,1447.0,384.0,,,4261.0,4392.0,834.0,582.0,197.0,,23.0,10.0,,,10.0,12.0
48,20200715,Wyoming,581836.0,62268.0,32295.0,0.9144,0.0095,0.0242,0.0082,0.0009,0.0161,0.0268,1985,929.0,20.0,255.0,9.0,346.0,6.0,,78.0,453.0,22.0,9.0,0.0,2.0,0.0,9.0,,,0.0,2.0
